Time            Diameter        States Found    Distinct States Queue Size      
3:08:07         17              84177235        30726323        21964333        
3:09:07         17              84585986        30875670        22072968        
3:10:07         17              84975016        31017777        22174736        
3:11:07         17              85367962        31162138        22277866        
3:12:07         17              85733692        31292653        22372267        
3:13:07         17              86111903        31431475        22471645        
3:14:07         17              86502489        31581541        22581135        
3:15:07         17              86881682        31725205        22688194        
3:16:07         17              87274066        31866974        22792352        
3:17:07         17              87685417        32021781        22904407        
3:18:07         17              88088242        32163485        23007563        
3:19:07         17              88474622        32298039        23105084        
3:20:07         17              88871997        32439762        23207451        
3:21:07         17              89267219        32576282        23306470        
3:22:07         17              89660107        32716660        23409464        
3:23:07         17              90066594        32862763        23517147        
3:24:07         17              90490332        33021873        23636105        
3:25:07         17              90915471        33177634        23753069        
3:26:07         17              91338757        33327559        23862619        
3:27:07         17              91754712        33470210        23962408        
3:28:07         17              92162116        33614237        24065065        
3:29:07         17              92577786        33769711        24176456        
3:30:07         17              92973509        33917197        24284780        
3:31:07         17              93370638        34056955        24387511        
3:32:07         17              93764305        34193113        24485270        
3:33:07         17              94172124        34337555        24590182        
3:34:07         17              94564116        34477009        24693305        
3:35:07         17              94970734        34619848        24796745        
3:36:07         17              95365742        34764297        24904750        
3:37:07         17              95758291        34904402        25008259        
3:38:07         17              96156896        35044860        25110976        
3:39:07         17              96573164        35191292        25215218        
3:40:07         17              96986800        35333198        25317183        
3:41:07         17              97368456        35468858        25417286        
3:42:07         17              97772541        35616908        25527948        
3:43:07         17              98181388        35765925        25640047        
3:44:07         17              98624741        35922319        25753902        
3:45:07         17              99045463        36069646        25859352        
3:46:07         17              99478180        36227731        25978326        
3:47:07         17              99903701        36377171        26085323        
3:48:07         17              100322179       36521858        26187219        
3:49:07         17              100750352       36660770        26283843        
3:50:07         17              101170131       36795557        26375894        
3:51:07         17              101568241       36937646        26475498        
3:52:07         17              101958920       37077159        26575744        
3:53:07         17              102362916       37221662        26679542        
3:54:07         17              102754691       37361659        26781540        
3:55:07         17              103156647       37509833        26887829        
3:56:07         17              103560081       37661658        26999808        
3:57:07         17              103949465       37801459        27100390        
3:58:07         17              104339931       37942651        27204663        
3:59:07         17              104770608       38097891        27317291        
4:00:07         17              105189778       38239462        27414119        
4:01:07         17              105592255       38385176        27515516        
4:02:07         17              105980065       38534026        27623596        
4:03:07         17              106365316       38681167        27729214        
4:04:07         17              106735746       38822648        27830076        
4:05:07         17              107125013       38967574        27930610        
4:06:07         17              107487297       39105657        28032628        
4:07:07         17              107910478       39261824        28141239        
4:08:07         17              108325974       39422194        28254931        
4:09:07         17              108735422       39581582        28369834        
4:10:07         17              109136823       39732469        28477688        
4:11:07         17              109535953       39886515        28589735        
4:12:07         17              109953642       40048289        28708857        
4:13:07         17              110343729       40192737        28814941        
4:14:07         17              110725208       40334026        28919094        
4:15:07         17              111112465       40476677        29023021        
4:16:07         17              111492153       40621180        29127064        
4:17:07         17              111879867       40770100        29236865        
4:18:07         17              112279643       40918492        29341558        
4:19:07         17              112663291       41066501        29449229        
4:20:07         17              113056977       41208781        29550903        
4:21:07         17              113438116       41355413        29660805        
4:22:07         17              113813328       41495993        29765855        
4:23:07         17              114206138       41639978        29870562        
4:24:07         17              114630477       41796349        29984629        
4:25:07         17              115037105       41948117        30097217        
4:26:07         17              115453967       42086430        30194660        
4:27:07         17              115862438       42225395        30293953        
4:28:07         17              116254552       42350596        30381007        
4:29:07         17              116674253       42506910        30497501        
4:30:07         17              117102859       42657201        30605682        
4:31:07         17              117540005       42819642        30719617        
4:32:07         17              117973990       42976787        30828997        
4:33:07         17              118433447       43139065        30943401        
4:34:07         17              118898488       43315868        31070563        
4:35:07         17              119344160       43475732        31184526        
4:36:07         17              119810178       43633177        31292789        
4:37:07         17              120251807       43781512        31398194        
4:38:07         17              120682674       43928785        31501202        
4:39:07         17              121128471       44086467        31610386        
4:40:07         17              121567942       44239882        31716950        
4:41:07         17              122006316       44400391        31830242        
4:42:07         17              122449007       44556199        31939153        
4:43:07         17              122906689       44725053        32058823        
4:44:07         17              123357014       44882375        32164790        
4:45:07         17              123803354       45052541        32284757        
4:46:07         17              124280908       45225419        32401276        
4:47:07         17              124703913       45371753        32506329        
4:48:07         17              125101364       45505745        32601073        
4:49:07         17              125506825       45647197        32703482        
4:50:07         17              125924368       45798252        32815093        
4:51:07         17              126345508       45943046        32920111        
4:52:07         17              126774155       46097802        33033300        
4:53:07         17              127175562       46244203        33142013        
4:54:07         17              127618027       46399983        33253191        
4:55:07         17              128025830       46547181        33362598        
4:56:07         17              128463561       46701845        33471244        
4:57:07         17              128929406       46867375        33583452        
4:58:07         17              129367191       47010417        33680600        
4:59:07         17              129817912       47165621        33788252        
5:00:08         17              130252857       47316669        33893792        
5:01:08         17              130699246       47473712        34004866        
5:02:08         17              131143560       47625922        34116281        
5:03:08         17              131608882       47791617        34239917        
5:04:08         17              132085890       47965035        34367830        
5:05:08         17              132538842       48119437        34478194        
5:06:08         17              132949342       48258264        34575321        
5:07:08         17              133403801       48419481        34690876        
5:08:08         17              133848310       48571549        34799083        
5:09:08         17              134330663       48752548        34931051        
5:10:08         17              134792667       48925089        35054841        
5:11:08         17              135279017       49104713        35180493        
5:12:08         17              135702631       49253426        35286361        
5:13:08         17              136126139       49404269        35397852        
5:14:08         17              136562316       49557586        35509607        
5:15:08         17              137020804       49716723        35623804        
5:16:08         17              137445164       49871607        35735612        
5:17:08         17              137880421       50038470        35856372        
5:18:08         17              138257062       50179007        35958403        
5:19:08         17              138679968       50335993        36072403        
5:20:08         17              139098554       50490870        36183275        
5:21:08         17              139537535       50657913        36302871        
5:22:08         17              139948540       50805561        36406904        
5:23:08         17              140374745       50959061        36515187        
5:24:08         17              140786662       51113395        36630082        
5:25:08         17              141199439       51263202        36741289        
5:26:08         17              141628970       51414582        36851277        
5:27:08         17              142053885       51560312        36957512        
5:28:08         17              142471972       51711033        37064968        
5:29:08         17              142912504       51886376        37194009        
5:30:08         17              143326072       52036346        37303453        
5:31:08         17              143744994       52194335        37417531        
5:32:08         17              144165151       52347126        37527561        
5:33:08         17              144620831       52515877        37650286        
5:34:08         17              145053054       52679911        37769802        
5:35:08         17              145480626       52842264        37887905        
5:36:08         17              145894196       52982507        37986852        
5:37:08         17              146307587       53137947        38097019        
5:38:08         17              146719771       53300133        38217291        
5:39:08         17              147142018       53461578        38337673        
5:40:08         17              147568424       53614065        38442819        
5:41:08         17              147949863       53759569        38546547        
5:42:08         17              148327512       53901575        38648869        
5:43:08         17              148726539       54051305        38755596        
5:44:08         17              149086133       54187381        38854230        
5:45:08         17              149429054       54315459        38948501        
5:46:08         17              149794372       54449376        39046893        
5:47:08         17              150182934       54597259        39155114        
5:48:08         17              150523774       54728998        39253346        
5:49:08         17              150812972       54834459        39330420        
5:50:08         17              151137362       54940620        39403748        
5:51:08         17              151490541       55069410        39491583        
5:52:08         17              151803047       55168618        39557533        
5:53:08         17              152174493       55302912        39650699        
5:54:08         17              152544258       55443775        39746731        
5:55:08         17              152936459       55591674        39846977        
5:56:08         17              153315071       55717981        39928801        
5:57:08         17              153689810       55858570        40024478        
5:58:08         17              154075468       55990773        40112525        
5:59:08         17              154522405       56148839        40221801        
6:00:08         17              154979258       56303483        40331290        
6:01:08         17              155438651       56461608        40441348        
6:02:08         17              155910144       56612511        40544085        
6:03:08         17              156354999       56769003        40650995        
6:04:08         17              156770895       56913093        40749633        
6:05:08         17              157166395       57057666        40851121        
6:06:08         17              157531055       57192517        40948576        
6:07:08         17              157892969       57324850        41043444        
6:08:08         17              158269207       57459096        41136526        
6:09:08         17              158646521       57595553        41231595        
6:10:08         17              159078881       57748111        41335157        
6:11:08         17              159492322       57905261        41446014        
6:12:08         17              159920079       58063600        41557970        
6:13:08         17              160354402       58229988        41679419        
6:14:08         17              160792679       58397725        41799092        
6:15:08         17              161221639       58560899        41916640        
6:16:08         17              161658757       58716721        42028677        
6:17:08         17              162083394       58870696        42142193        
6:18:08         17              162510502       59023836        42250879        
6:19:08         17              162957713       59180192        42359160        
6:20:08         17              163405064       59342851        42470873        
6:21:08         17              163838751       59495314        42576479        
6:22:08         17              164275589       59658655        42689492        
6:23:08         17              164683813       59812870        42799418        
6:24:08         17              165074868       59959484        42905695        
6:25:08         17              165469350       60102453        43007099        
6:26:08         17              165860295       60247865        43110856        
6:27:08         17              166253976       60393391        43217815        
6:28:08         17              166625117       60527061        43313814        
6:29:08         17              166996479       60656597        43407096        
6:30:08         17              167383784       60794745        43505054        
6:31:08         17              167797153       60949805        43614892        
6:32:08         17              168184256       61093182        43720479        
6:33:08         17              168580215       61237945        43826997        
6:34:08         17              168964154       61374256        43925301        
6:35:08         17              169383952       61518592        44024505        
6:36:08         17              169779034       61671310        44137954        
6:37:08         17              170178338       61823301        44251073        
6:38:08         17              170591395       61975655        44362620        
6:39:08         17              170999654       62116940        44461579        
6:40:08         17              171425391       62277281        44577066        
6:41:08         17              171843791       62428738        44686147        
6:42:08         17              172260465       62569475        44784575        
6:43:08         17              172670119       62710289        44882040        
6:44:08         17              173064317       62851706        44983673        
6:45:08         17              173458588       63007209        45102080        
6:46:08         17              173881321       63172283        45225643        
6:47:08         17              174308279       63321016        45334103        
6:48:08         17              174721180       63461924        45435098        
6:49:08         17              175126937       63608920        45541013        
6:50:08         17              175565743       63767285        45649676        
6:51:08         17              175960679       63908370        45749324        
6:52:08         17              176403604       64064223        45855559        
6:53:08         17              176839155       64220322        45966500        
6:54:08         17              177257866       64383629        46089069        
6:55:08         17              177695695       64543337        46204056        
6:56:08         17              178106005       64687044        46306344        
6:57:08         17              178511671       64840149        46419618        
6:58:08         17              178925898       64989146        46528881        
6:59:08         17              179333075       65129677        46629914        
7:00:08         17              179718444       65266378        46728710        
7:01:08         17              180103095       65413536        46836992        
7:02:08         17              180462345       65556762        46947881        
7:03:08         17              180840130       65704853        47062346        
7:04:08         17              181222070       65857707        47180910        
7:05:08         17              181602307       65999808        47289255        
7:06:08         17              181979006       66141377        47397392        
7:07:08         17              182375528       66289008        47510029        
7:08:08         17              182749211       66422866        47609212        
7:09:08         17              183104448       66549351        47704226        
7:10:08         17              183481007       66684801        47805672        
7:11:08         17              183879581       66826108        47912150        
7:12:08         17              184194364       66940785        47995247        
7:13:08         17              184517185       67058324        48079992        
7:14:08         17              184841086       67174103        48163307        
7:15:08         17              185145450       67290266        48249702        
7:16:08         17              185466249       67409187        48339105        
7:17:08         17              185751520       67511276        48412286        
7:18:08         17              186083324       67627985        48496379        
7:19:08         17              186437403       67750684        48582023        
7:20:08         17              186762584       67871957        48669659        
7:21:08         17              187067135       67982371        48750150        
7:22:08         17              187419326       68122316        48855431        
7:23:08         17              187818489       68255923        48950468        
7:24:08         17              188124789       68351485        49018086        
7:25:08         17              188469942       68464098        49097369        
7:26:08         17              188829934       68590922        49187947        
7:27:08         17              189193044       68707661        49270671        
7:28:08         17              189542757       68819265        49348675        
7:29:08         17              189883403       68934581        49429706        
7:30:08         17              190233383       69059436        49519719        
7:31:08         17              190590803       69181513        49609986        
7:32:08         17              190953106       69320743        49716107        
7:33:08         17              191318998       69451733        49814726        
7:34:08         17              191742940       69599533        49922880        
7:35:08         17              192159046       69734254        50020418        
7:36:08         17              192582936       69883940        50127915        
7:37:08         17              192996764       70030449        50231701        
7:38:08         17              193399283       70170637        50331954        
7:39:08         17              193802400       70311003        50433065        
7:40:08         17              194195581       70448813        50531336        
7:41:08         17              194628860       70602125        50637232        
7:42:08         17              195060608       70759655        50749278        
7:43:08         17              195472325       70902814        50852042        
7:44:08         17              195871311       71040412        50948963        
7:45:08         17              196303334       71199620        51063389        
7:46:08         17              196733895       71358981        51178572        
7:47:08         17              197115280       71496827        51277987        
7:48:08         17              197514474       71638484        51379253        
7:49:08         17              197937884       71787643        51484794        
7:50:08         17              198334687       71928814        51585466        
7:51:08         17              198755687       72080028        51693159        
7:52:08         17              199196866       72240821        51810011        
7:53:08         17              199595875       72376469        51907677        
7:54:08         17              200001037       72511648        52005608        
7:55:08         17              200413135       72649892        52104775        
7:56:08         17              200816905       72790312        52206032        
7:57:08         17              201215531       72935191        52311868        
7:58:08         17              201671789       73106032        52436702        
7:59:08         17              202105822       73253563        52542994        
8:00:08         17              202558752       73416927        52659069        
8:01:08         17              203005135       73576791        52770371        
8:02:08         17              203419944       73735563        52885412        
8:03:08         17              203830718       73888892        52996822        
8:04:08         17              204235761       74036132        53102364        
8:05:08         17              204616043       74164799        53192567        
8:06:08         17              205036836       74321797        53303068        
8:07:08         17              205441835       74473746        53414592        
8:08:08         17              205877090       74632799        53531089        
8:09:08         17              206291874       74798583        53655550        
8:10:08         17              206733715       74958138        53772664        
8:11:08         17              207173877       75116747        53888381        
8:12:08         17              207607142       75273386        54002065        
8:13:08         17              208042062       75428213        54115739        
8:14:08         17              208492677       75588931        54232642        
8:15:08         17              208929489       75747464        54348235        
8:16:08         17              209361376       75911643        54467674        
8:17:08         17              209784528       76062375        54576342        
8:18:08         17              210224325       76228331        54698161        
8:19:08         17              210638299       76369253        54800886        
8:20:08         17              211049612       76516362        54908825        
8:21:08         17              211436048       76658163        55010932        
8:22:08         17              211849400       76810751        55120929        
8:23:08         17              212257605       76961301        55233515        
8:24:08         17              212677398       77109152        55343061        
8:25:08         17              213078224       77260210        55451967        
8:26:08         17              213481710       77408890        55562789        
8:27:08         17              213894238       77552473        55666237        
8:28:08         17              214298675       77692152        55767430        
8:29:08         17              214687651       77838696        55877687        
8:30:09         17              215085401       77981651        55983636        
8:31:09         17              215502711       78124965        56086701        
8:32:09         17              215914319       78270456        56191329        
8:33:09         17              216337114       78427181        56305473        
8:34:09         17              216746048       78581411        56421285        
8:35:09         17              217169374       78723017        56520087        
8:36:09         17              217598334       78868044        56621337        
8:37:09         17              218022541       79009810        56719658        
8:38:09         17              218443600       79153756        56826075        
8:39:09         17              218873634       79302887        56931669        
8:40:09         17              219298278       79453084        57036294        
8:41:09         17              219727541       79612385        57149145        
8:42:09         17              220168961       79771722        57257464        
8:43:09         17              220610212       79922932        57360884        
8:44:09         17              221051259       80072451        57462989        
8:45:09         17              221458330       80203325        57550076        
8:46:09         17              221855710       80328657        57634285        
8:47:09         17              222284032       80467134        57728323        
8:48:09         17              222721989       80612630        57827852        
8:49:09         17              223169863       80761800        57929294        
8:50:09         17              223610329       80911217        58033474        
8:51:09         17              224034724       81057184        58134127        
8:52:09         17              224412597       81183759        58225215        
8:53:09         17              224787617       81308799        58315091        
8:54:09         17              225219917       81455899        58416180        
8:55:09         17              225623224       81597970        58518258        
8:56:09         17              226032927       81731540        58611969        
8:57:09         17              226452705       81866995        58706286        
8:58:09         17              226902660       82036010        58826257        
8:59:09         17              227327423       82182217        58925195        
9:00:09         17              227775885       82340762        59030408        
9:01:09         17              228219222       82486839        59125638        
9:02:09         17              228613545       82624653        59224316        
9:03:09         17              228994010       82755119        59318524        
9:04:09         17              229404060       82898203        59420983        
9:05:09         17              229817136       83044698        59527654        
9:06:09         17              230197977       83181710        59626063        
9:07:09         17              230581826       83322128        59729118        
9:08:09         17              230980258       83468705        59835862        
9:09:09         17              231379541       83619729        59948069        
9:10:09         17              231772855       83770679        60058354        
9:11:09         17              232195745       83923446        60165078        
9:12:09         17              232619524       84071997        60268582        
9:13:09         17              233039199       84238174        60387850        
9:14:09         17              233455486       84399920        60505454        
9:15:09         17              233872437       84547924        60609132        
9:16:09         17              234283047       84692234        60710621        
9:17:09         17              234675066       84827412        60807101        
9:18:09         17              235062500       84960544        60902635        
9:19:09         17              235452343       85104246        61007701        
9:20:09         17              235860307       85243873        61110536        
9:21:09         17              236246555       85381517        61208957        
9:22:09         17              236635143       85511548        61300267        
9:23:09         17              237037216       85653448        61401891        
9:24:09         17              237416431       85792703        61502261        
9:25:09         17              237818309       85939932        61609995        
9:26:09         17              238193394       86070083        61704097        
9:27:09         17              238552094       86193150        61791575        
9:28:09         17              238932991       86330101        61892101        
9:29:09         17              239331628       86467037        61991053        
9:30:09         17              239712212       86595983        62083257        
9:31:09         17              240110643       86736019        62185684        
9:32:09         17              240485757       86869651        62281166        
9:33:09         17              240869663       87004692        62376893        
9:34:09         17              241259235       87146319        62477976        
9:35:09         17              241678784       87306317        62597503        
9:36:09         17              242065262       87425042        62681752        
9:37:09         17              242462936       87559754        62776341        
9:38:09         17              242850401       87691690        62866942        
9:39:09         17              243252753       87830547        62962766        
9:40:09         17              243584184       87953247        63050284        
9:41:09         17              243899497       88067059        63132524        
9:42:09         17              244221914       88180743        63213192        
9:43:09         17              244543535       88292910        63291077        
9:44:09         17              244859524       88407156        63373811        
9:45:09         17              245181105       88506127        63441791        
9:46:09         17              245487471       88606192        63511358        
9:47:09         17              245810885       88715022        63588165        
9:48:09         17              246141397       88825634        63664939        
9:49:09         17              246465395       88928251        63734867        
9:50:09         17              246775161       89039168        63814465        
9:51:09         17              247108322       89159099        63900462        
9:52:09         17              247435732       89261399        63972400        
9:53:09         17              247758009       89362805        64041641        
9:54:09         17              248099684       89472927        64116686        
9:55:09         17              248449508       89580832        64188955        
9:56:09         17              248802856       89705465        64274309        
9:57:09         17              249158869       89837386        64367934        
9:58:09         17              249515814       89963289        64452930        
9:59:09         17              249862217       90080433        64531201        
10:00:09        17              250238703       90212641        64621857        
10:01:09        17              250577302       90325838        64702732        
10:02:09        17              250929233       90451267        64790088        
10:03:09        17              251310929       90586231        64884318        
10:04:09        17              251725456       90727422        64983278        
10:05:09        17              252148765       90876892        65089241        
10:06:09        17              252584151       91039280        65208766        
10:07:09        17              253012672       91181018        65307860        
10:08:09        17              253427392       91323454        65407933        
10:09:09        17              253833449       91467060        65512227        errors: 0, warnings: 0, exit_state: 0

10:10:09        17              254248828       91609490        65614480        
10:11:09        17              254654502       91746194        65711386        
10:12:09        17              255053891       91880929        65806411        
10:13:09        17              255469298       92028954        65912382        
10:14:09        17              255925524       92189896        66024368        
10:15:09        17              256342892       92335649        66127111        
10:16:09        17              256787250       92496179        66240467        
10:17:09        17              257222997       92638387        66339135        
10:18:09        17              257654455       92791081        66447769        
10:19:09        17              258079875       92931896        66547080        
10:20:09        17              258505166       93068065        66640703        
10:21:09        17              258911723       93199140        66731552        
10:22:09        17              259333069       93335542        66824455        
10:23:09        17              259735458       93459568        66909976        
10:24:09        17              260145141       93593477        67001336        
10:25:09        17              260553667       93739230        67105445        
10:26:09        17              260958907       93880873        67205551        
10:27:09        17              261340773       94018955        67304632        
10:28:09        17              261750940       94157556        67400588        
10:29:09        17              262169402       94298417        67496701        
10:30:09        17              262572401       94434959        67594176        
10:31:09        17              262982812       94569080        67688182        
10:32:09        17              263398920       94709077        67786406        
10:33:09        17              263825817       94865345        67900891        
10:34:09        17              264259210       95021021        68015491        
10:35:09        17              264694118       95173094        68125760        
10:36:09        17              265122092       95311074        68223184        
10:37:09        17              265552380       95461150        68332649        
10:38:09        17              265965251       95605057        68435646        
10:39:09        17              266400293       95764051        68548214        
10:40:09        17              266826342       95922285        68660402        
10:41:09        17              267264943       96080485        68774354        
10:42:09        17              267718626       96234291        68879772        
10:43:09        17              268141507       96386406        68987352        
10:44:09        17              268566420       96531152        69090178        
10:45:09        17              268987834       96673776        69189660        
10:46:09        17              269405672       96816982        69289182        
10:47:09        17              269809106       96949123        69381810        
10:48:09        17              270234195       97092748        69477862        
10:49:09        17              270618418       97237419        69582372        
10:50:09        17              271020140       97390975        69694861        
10:51:09        17              271454842       97550483        69808619        
10:52:09        17              271876294       97693778        69906952        
10:53:09        17              272295053       97835192        70003772        
10:54:09        17              272681297       97970346        70102087        
10:55:09        17              273079145       98114947        70209167        
10:56:09        17              273470037       98252569        70310151        
10:57:09        17              273853722       98389636        70409175        
10:58:09        17              274235944       98524898        70506770        
10:59:09        17              274594224       98652382        70598660        
11:00:09        17              275010944       98804726        70703611        
11:01:09        17              275437998       98966827        70819169        
